ID_COMERCIO,CIUDAD,PROVINCIA,DIRECCION,Name,geometry
101,GUAYAQUIL,GUAYAS,Chimborazo No. 217 y Luque,Parroquia Rocafuerte,POINT (-79.8830554 -2.1926202)
103,GUAYAQUIL,GUAYAS,Lorenzo de Garaicoa No. 1500 y Sucre,Parroquia Rocafuerte,POINT (-79.88763400000001 -2.1950652)
105,GUAYAQUIL,GUAYAS,Ernesto Alban y peatonal 8 Sur Oeste.,Guanguala,POINT (-79.90623720000001 -2.2295769)
116,GUAYAQUIL,GUAYAS,Av. Olmedo No. 401 y Chimborazo,Parroquia Rocafuerte,POINT (-79.8845372 -2.198406)
120,GUAYAQUIL,GUAYAS,Av. Agustín Freire entre Rolando Pareja y Eloy Velasquez - C.C. Garzocentro 2.000 - Local 702/703,Garzota,POINT (-79.89348990000001 -2.1441256)
123,GUAYAQUIL,GUAYAS,Avda. Isidro Ayora y Francisco Rizzo,Samanes,POINT (-79.8987704 -2.1144278)
126,GUAYAQUIL,GUAYAS,Raúl Clemente Huerta y 3er. Pasaje,Guasmo Norte - Rio Guayas,POINT (-79.87824139999999 -2.2609658)
144,GUAYAQUIL,GUAYAS,Gómez Rendón 2305 Y Carchi,Parroquia Garcia Moreno,POINT (-79.8996442 -2.2008963)
147,GUAYAQUIL,GUAYAS,Ave. Assad Bucaran y Rosendo Aviles ,Abel Gilbert,POINT (-79.9278904 -2.2074951)
151,GUAYAQUIL,GUAYAS,Av. Jose Luis Tamayo y Av. Antonio Parra Velasco ,Guayacanes,POINT (-79.89506830000001 -2.1216088)
154,GUAYAQUIL,GUAYAS,Calle 4 de Noviembre y calle Gallegos Lara,Parroquia Letamendi,POINT (-79.9072317 -2.2102851)
160,GUAYAQUIL,GUAYAS,"Calle Josefina Barba (La ""A"") y Guerrero Martinez",Cristo del Consuelo,POINT (-79.9097015 -2.2188503)
167,GUAYAQUIL,GUAYAS,Av. Rodolfo Baquerizo Nazur y Av. Jose Maria Egas (esquina),Alborada,POINT (-79.8985313 -2.1396879)
168,GUAYAQUIL,GUAYAS,(Coop. Quisquis) Av. Manuel Rendon (costanera) y Tercer Callejon 12 N-O,Mapasingue,POINT (-79.9196937 -2.1577378)
169,GUAYAQUIL,GUAYAS,Av. Jose Tomas de Aguirre entre 1era peatonal 2 S-O y 2da peatonal 2 S-O,Guasmo Oeste,POINT (-79.8997277 -2.2509092)
171,GUAYAQUIL,GUAYAS,Calle Publica 18 N O entre peatonal 38 A N.O Y Peatonal sin nombre,Martha de Roldos,POINT (-79.9236351 -2.1446551)
172,GUAYAQUIL,GUAYAS,Av. Principal  mz. 21  sl. 12  a  2 cuadras de la Iglesia  (Almacen La Diosita),Pascuales,POINT (-79.93316780000001 -2.0684355)
175,GUAYAQUIL,GUAYAS,km 5 1/2 via a Daule calle 8 a una entrada por AGA ,Mapasingue,POINT (-79.9326324 -2.152366)
181,GUAYAQUIL,GUAYAS,Av Roberto Serrano y cuarto paseo 52,Floresta,POINT (-79.88485369999999 -2.2514252)
184,GUAYAQUIL,GUAYAS,29 y Portete,Febres Cordero,POINT (-79.92574399999999 -2.1988382)
185,GUAYAQUIL,GUAYAS,Avda. Perimetral pasando el primer puente diagonal a JAER.,Isla Trinitaria,POINT (-79.91889620000001 -2.2403331)
186,GUAYAQUIL,GUAYAS,Calle Garcia Moreno y Av. 3 Suroeste entre Tercer paseo 43 Suroeste y Jose Feraud Gúzman El Conquistador.,Acacias,POINT (-79.9015739 -2.2230019)
189,GUAYAQUIL,GUAYAS,Av. Principal Esclusas entre calle 53 Sur y Av. 10A Sur Este.  a 4 cuadras del mercado y antes del monasterio,Guasmo Sur,POINT (-79.89037639999999 -2.2585601)
191,GUAYAQUIL,GUAYAS,23 y la Q,Batallon del Suburbio,POINT (-79.940043 -2.2307433)
192,GUAYAQUIL,GUAYAS,38 y Portete ,Febres Cordero,POINT (-79.93296290000001 -2.1978708)
197,GUAYAQUIL,GUAYAS,Av. Rodrigo Izcaza Cornejo y Enrique Gil Gilbert  Esquina,Sauces,POINT (-79.89010519999999 -2.1227068)
198,GUAYAQUIL,GUAYAS,Av. Gabriel Roldos Garces entre Peatonal y 2do Pasaje 3 -A Noreste,Sauces,POINT (-79.89739969999999 -2.126121)
202,QUITO,PICHINCHA,Guayaquil No. 958 entre Eugenio Espejo y Chile.,Centro Historico,POINT (-78.51097129999999 -0.2208777)
212,QUITO,PICHINCHA,Av. Mariscal Antonio José de Sucre. entre Pedro Capiro y El Canelo. C.C. Atahualpa Local 17/18,Atahualpa,POINT (-78.53734849999999 -0.2508461)
213,QUITO,PICHINCHA,10 de Agosto No. 17.181 entre Caracas y Santiago,San Juan,POINT (-78.500229 -0.208263)
218,QUITO,PICHINCHA,Avenida Jose Fernandez Davila . Urb. San Carlos ,San Carlos,POINT (-78.4984688 -0.1336947)
225,QUITO,PICHINCHA,Av. Maldonado entre Alamor y Calva,Chimbacalle,POINT (-78.5208344 -0.2498604)
250,QUITO,PICHINCHA,Benancio Estandoque entre Salvador Bravo y Simon Guerra,Solanda,POINT (-78.5380255 -0.2681766)
255,QUITO,PICHINCHA,Calle Lizardo Ruiz y Los Alfareros,Cotocollao,POINT (-78.49572569999999 -0.1145272)
288,QUITO,PICHINCHA,Calle J. Garces 7477 ,Comite del Pueblo,POINT (-78.4672085 -0.1233628)
299,QUITO,PICHINCHA,Calle Toacazo y mulalillo zona Eloy Alfaro,El Pintado,POINT (-78.5459005 -0.260872)
300,GUAYAQUIL,GUAYAS,av tercera principal y calle  vehicular solar 5,Vergeles,POINT (-79.90325369999999 -2.0919849)
304,GUAYAQUIL,GUAYAS,Calle 25 y la Ch.,Puerto Lisa,POINT (-79.9267847 -2.2174903)
305,GUAYAQUIL,GUAYAS,Av. Arquitecto Modesto Luque Rivadeneira junto a pollos barcelona,Flor de Bastion,POINT (-79.9543795 -2.1047272)
308,GUAYAQUIL,GUAYAS,Av. Isidro Ayora y Calle Vehicular junto a BC BOMBEROS  NRO 50 MUCHO LOTE ,Mucho Lote,POINT (-79.92033050000001 -2.0847592)
309,GUAYAQUIL,GUAYAS,Via daule Km 12 1/2 frente a C.C. Parque california.,Bastion Popular,POINT (-79.9354427 -2.0988043)
310,GUAYAQUIL,GUAYAS,Av. Domingo Comin entre calle publica y calle publica diagonal a la estacion de la metrovia,Floresta,POINT (-79.89037399999999 -2.2461294)
318,GUAYAQUIL,GUAYAS,Isla Trinitaria Cooperativa Jacobo Bucaram Solar esquinero 1-2 Mz. 310,Isla Trinitaria,POINT (-79.9234551 -2.2388066)
320,GUAYAQUIL,GUAYAS,José Rodríguez Bonín  Urbanización Renacer y Jardín del Salado,Renacer,POINT (-79.9429428 -2.1899011)
323,GUAYAQUIL,GUAYAS,Av. Abdón Calderón Sector 91 de La Coop. Union de Bananeros bloque 6,Guasmo Sur,POINT (-79.87916389999999 -2.2758052)
327,GUAYAQUIL,GUAYAS,Cdla. El Fortín calle 22 (entrada de la línea 8) y calle s/n Mz. 061 ,El Fortin,POINT (-79.94994579999999 -2.1193079)
333,GUAYAQUIL,GUAYAS,Av. J.M. Velasco Ibarra Calle Primera B,Bellavista,POINT (-79.91060040000001 -2.1802718)
338,GUAYAQUIL,GUAYAS,Portete y la 8va.,Parroquia Letamendi,POINT (-79.90915800000001 -2.2036877)
345,GUAYAQUIL,GUAYAS,Urb. Mucho Lote 5ta. Etapa Quinto callejón 23 y cuarto callejon 23,Mucho Lote,POINT (-79.9179572 -2.0982655)
354,GUAYAQUIL,GUAYAS,Vélez entre Pedro Moncayo y seis de Marzo . Edif. Forum frente a la plaza centenario. ,Parroquia Rocafuerte,POINT (-79.88818190000001 -2.1910062)
356,GUAYAQUIL,GUAYAS,Calle 17 y Av. Portete ,Febres Cordero,POINT (-79.91605060000001 -2.2011707)
357,GUAYAQUIL,GUAYAS,Urb. Los Álamos av.  Francisco de Orellana y calle Tiwintza. interseccion Mz. 025 Solar 02-02 ,Ciudadela Los Alamos,POINT (-79.9080079 -2.1321684)
368,GUAYAQUIL,GUAYAS,25 y la LL,Puerto Lisa,POINT (-79.9291437 -2.2251212)
369,DAULE,GUAYAS,AVDA. LEON FEBRES CORDERO ENTRE C.LUIS PARRENO Y SANTUARIO ZUÑIGA,La Aurora,POINT (-79.880681 -2.0525918)
370,GUAYAQUIL,GUAYAS,BEJAMIN ROSALE S Y AV DE LAS AMERICAS TERMINAL TERRESTRE,Terminal Terrestre,POINT (-79.87935400000001 -2.1427444)
371,GUAYAQUIL,GUAYAS,Autopista Terminal Terrestre Pascuales,Ciudad del Rio 2,POINT (-79.9101414 -2.0660634)
377,DAULE,GUAYAS,AVDA LEÓN FEBRES CORDERO KM 14 1/2 ENTRANDO POR PIAZZA LA JOYA ANTES DE LLEGAR A VILLAS DEL REY,La Joya,POINT (-79.9126084 -2.0279672)
392,GUAYAQUIL,GUAYAS,Coop Enner Parrales Av 56 N-o Perimetral Sl 2,Nueva Prosperina,POINT (-79.94915640000001 -2.1301905)
398,GUAYAQUIL,GUAYAS,COLON Y CALLE MALECON SIMON BOLIVAR DENTRO DEL  CENTRO COMERCIAL MALECON 2000 GALERIA A,Parroquia Rocafuerte,POINT (-79.881186 -2.1993733)
414,QUITO,PICHINCHA,Calle Sucre entre calle Venezuela y calle Guayaquil ,Centro Historico,POINT (-78.5126458 -0.2223082)
434,QUITO,PICHINCHA,Av. Cusubamba S/N (sur de Quito),Santa Rita,POINT (-78.5464162 -0.2734386)
440,QUITO,PICHINCHA,Av. Pedro Vicente Maldonado y Gral. Julio Andrade,Guamani,POINT (-78.5494928 -0.3185969)
441,QUITO,PICHINCHA,Av. Mariscal Sucre y Ajaví (Frente a la gasolinera Primax),El Pintado,POINT (-78.5429546 -0.2570297)
450,QUITO,PICHINCHA,Av. 6 de Diciembre y Av.Los Guarumos (antes del redondel de Inca),El Inca,POINT (-78.4768323 -0.1563037)
451,QUITO,PICHINCHA,Av. La Ecuatoriana e Ignacio Noboa ,Guamani,POINT (-78.5645823 -0.3111166)
460,QUITO,PICHINCHA,Calle Martha de Bucaran de Roldos y pasaje 08 . Cdla Ibarra  pasando un mercado municipal a 3 cuadras. ,La Ecuatoriana,POINT (-78.56540699999999 -0.2989792)
473,QUITO,PICHINCHA,Capitan Ramos N 10-90 y 10 de Agosto,La Luz,POINT (-78.48277469999999 -0.1502558)
484,QUITO,PICHINCHA,Calle Luis Franco Lopez barrio Mariscal Ayacucho parroquia la Mena,Chillogallo,POINT (-78.5532874 -0.2758066)
488,QUITO,PICHINCHA,Barrio San Isidro del Inca Calle Nogales No. 1116 Mz 20,San Isidro del Inca,POINT (-78.46517780000001 -0.1473308)
499,QUITO,PICHINCHA,AVENIDA AMAZONAS ENTRE JOSÉ DE VILLALENGUA Y UNIÓN NACIONAL DE PERIODISTAS . PARROQUIA IÑAQUITO,Iñaquito,POINT (-78.4850696 -0.1745589)
503,GUAYAQUIL,GUAYAS,AV. MARIN CALLE 19 E NO 13-14-15-16 Y AV ISRAEL AV 36 NO ,Juan Montalvo,POINT (-79.91852 -2.1259464)
515,SAMBORONDON,GUAYAS,KM  9 VIA SAMBORONDON CENTRO COMERCIAL CIUDAD CELESTE LOCAL #2,Ciudad Celeste,POINT (-79.8421714 -2.0731271)
613,QUITO,PICHINCHA,PARROQUIA CHILLOGALLO AV PEDRO VICENTE MALDONADO Y LEONIDAS DUBLES ,Turubamba,POINT (-78.55022030000001 -0.3272894)
621,QUITO,PICHINCHA,COOP PUEBLO SOLO PUEBLO MZ 11 LOTE 7,Quitumbe,POINT (-78.54932429999999 -0.3070842)
544,GUAYAQUIL,GUAYAS,CIUDADELA ALBORADA X ETAPA  MZ 111. AVENIDA BENJAMIN CARRION S/N Y CALLE TERCERA C.C. LA ROTONDA LOCALES 21-22-23-24 Frente al City Mall. (Dentro del C.C. LA ROTONDA. el local es diagonal al patio de comidas),Alborada,POINT (-79.908327 -2.138869)
549,GUAYAS,GUAYAQUIL,LOS ROSALES II  MANZANA 665 SOLAR 2 ,Rosales,POINT (-79.90779000000001 -2.120403)
551,GUAYAQUIL,GUAYAS,COOP MARIUXI FEBRES CORDERO CALLE 57B MZ 63 SL 12ESQ FRENTE AL HOSPITAL GENERAL SUR ,Guasmo Sur,POINT (-79.89540700000001 -2.275136)
574,GUAYAQUIL,GUAYAS,CALLE 54 E INTERSECCION CON CALLE PUBLICA S/N  ESQ MZ 1223 LOTES 15-16-17-18,Guasmo Oeste,POINT (-79.904308 -2.254487)
579,GUAYAQUIL,GUAYAS,COMUNA CHONGON SL 4 MZ 80,Chongon,POINT (-80.07795 -2.235766)
